Location,Type,DOB,DOW,Cal Year,Fiscal Year,Week,Period,Quarter,Hours,Labor $,Hour %,SalaryCost,SalaryPercent,Total Payroll,Sales,Area
El Segundo,Actual,1/18/24,Thursday,2024,2024,3,1,1,39.26,837,22.99,0,0,837,3640.8,SoCal 4
El Segundo,Scheduled,1/18/24,Thursday,2024,2024,3,1,1,38.5,818.6,25.58,0,0,818.6,3200,SoCal 4
El Segundo,Year Ago,1/18/24,Thursday,2024,2024,3,1,1,37.07,728,25.17,0,0,728,2891.1,SoCal 4
Fountain Valley,Actual,1/18/24,Thursday,2024,2024,3,1,1,29.86,487,20.8,0,0,487,2340.9,SoCal 4
Fountain Valley,Scheduled,1/18/24,Thursday,2024,2024,3,1,1,29.5,481,20.04,0,0,481,2400,SoCal 4
Fountain Valley,Year Ago,1/18/24,Thursday,2024,2024,3,1,1,35.83,634,21.78,0,0,634,3060.09,SoCal 4
Five Points,Actual,1/18/24,Thursday,2024,2024,3,1,1,34.38,612,38,0,0,612,1611.09,SoCal 4
Five Points,Scheduled,1/18/24,Thursday,2024,2024,3,1,1,36.5,649.19,43.28,0,0,649.19,1500,SoCal 4
Five Points,Year Ago,1/18/24,Thursday,2024,2024,3,1,1,0,0,0,0,0,0,0,SoCal 4
LBX,Actual,1/18/24,Thursday,2024,2024,3,1,1,34.56,667,23.08,0,0,667,2890.37,SoCal 4
LBX,Scheduled,1/18/24,Thursday,2024,2024,3,1,1,34.5,669.5,19.13,0,0,669.5,3500,SoCal 4
LBX,Year Ago,1/18/24,Thursday,2024,2024,3,1,1,0,0,0,0,0,0,0,SoCal 4
Long Beach,Actual,1/18/24,Thursday,2024,2024,3,1,1,50.51,1012,20.14,0,0,1012,5183.16,SoCal 4
Long Beach,Scheduled,1/18/24,Thursday,2024,2024,3,1,1,43.75,877.11,24.36,0,0,877.11,3600,SoCal 4
Long Beach,Year Ago,1/18/24,Thursday,2024,2024,3,1,1,44.78,858,18.43,0,0,858,4656.14,SoCal 4
Manhattan Beach,Actual,1/18/24,Thursday,2024,2024,3,1,1,38.21,764,26.44,0,0,764,2890.31,SoCal 4
Manhattan Beach,Scheduled,1/18/24,Thursday,2024,2024,3,1,1,37,670.25,19.15,0,0,670.25,3500,SoCal 4
Manhattan Beach,Year Ago,1/18/24,Thursday,2024,2024,3,1,1,61.41,1243,42.11,0,0,1243,2990.88,SoCal 4
Marina Del Rey,Actual,1/18/24,Thursday,2024,2024,3,1,1,33.22,628,31.49,0,0,628,1993.39,SoCal 4
Marina Del Rey,Scheduled,1/18/24,Thursday,2024,2024,3,1,1,31,633.49,27.54,0,0,633.49,2300,SoCal 4
Marina Del Rey,Year Ago,1/18/24,Thursday,2024,2024,3,1,1,27.53,530,32.66,0,0,530,1623.75,SoCal 4
Newport Beach,Actual,1/18/24,Thursday,2024,2024,3,1,1,30.91,586,22.23,183,7,769,2637.37,SoCal 4
Newport Beach,Scheduled,1/18/24,Thursday,2024,2024,3,1,1,28.75,531.25,17.71,0,0,531.25,3000,SoCal 4
Newport Beach,Year Ago,1/18/24,Thursday,2024,2024,3,1,1,36.81,643,19.38,177,5,820,3407.55,SoCal 4
Tustin,Actual,1/18/24,Thursday,2024,2024,3,1,1,36.14,659,18.05,0,0,659,3648.51,SoCal 4
Tustin,Scheduled,1/18/24,Thursday,2024,2024,3,1,1,29,532,20.46,0,0,532,2600,SoCal 4
Tustin,Year Ago,1/18/24,Thursday,2024,2024,3,1,1,37.41,663,20.26,0,0,663,3270.6,SoCal 4
Westminster,Actual,1/18/24,Thursday,2024,2024,3,1,1,26.84,508,29.59,0,0,508,1716.26,SoCal 4
Westminster,Scheduled,1/18/24,Thursday,2024,2024,3,1,1,29,486.06,32.4,0,0,486.06,1500,SoCal 4
Westminster,Year Ago,1/18/24,Thursday,2024,2024,3,1,1,0,0,0,0,0,0,0,SoCal 4
Carson,Actual,1/19/24,Friday,2024,2024,3,1,1,39.37,775,24.7,0,0,775,3137.4,SoCal 4
Carson,Scheduled,1/19/24,Friday,2024,2024,3,1,1,38.5,759.85,23.75,0,0,759.85,3200,SoCal 4
Carson,Year Ago,1/19/24,Friday,2024,2024,3,1,1,46.39,856,31.55,0,0,856,2713.99,SoCal 4
Costa Mesa,Actual,1/19/24,Friday,2024,2024,3,1,1,21.12,406,23.15,0,0,406,1755.05,SoCal 4
Costa Mesa,Scheduled,1/19/24,Friday,2024,2024,3,1,1,30,567.06,28.35,0,0,567.06,2000,SoCal 4
Costa Mesa,Year Ago,1/19/24,Friday,2024,2024,3,1,1,29.7,530,25.69,0,0,530,2064.86,SoCal 4
El Segundo,Actual,1/19/24,Friday,2024,2024,3,1,1,38.81,858,23.45,0,0,858,3658.33,SoCal 4
El Segundo,Scheduled,1/19/24,Friday,2024,2024,3,1,1,33,730,22.81,0,0,730,3200,SoCal 4
El Segundo,Year Ago,1/19/24,Friday,2024,2024,3,1,1,38.86,751,24.25,0,0,751,3098.66,SoCal 4
Carson,Actual,1/8/24,Monday,2024,2024,2,1,1,34.38,690,26.75,0,0,690,2578.19,SoCal 4
Carson,Scheduled,1/8/24,Monday,2024,2024,2,1,1,41.67,806.59,35.07,0,0,806.59,2300,SoCal 4
Carson,Year Ago,1/8/24,Monday,2024,2024,2,1,1,32.88,620,35.15,0,0,620,1816.13,SoCal 4
Costa Mesa,Actual,1/8/24,Monday,2024,2024,2,1,1,28.11,539,48.34,0,0,539,1114.18,SoCal 4
Costa Mesa,Scheduled,1/8/24,Monday,2024,2024,2,1,1,30,589.31,36.83,0,0,589.31,1600,SoCal 4
Costa Mesa,Year Ago,1/8/24,Monday,2024,2024,2,1,1,36.9,708,42.71,0,0,708,1713.8,SoCal 4
El Segundo,Actual,1/8/24,Monday,2024,2024,2,1,1,31.44,721,25.59,0,0,721,2815.85,SoCal 4
El Segundo,Scheduled,1/8/24,Monday,2024,2024,2,1,1,34,756.05,24.39,0,0,756.05,3100,SoCal 4
El Segundo,Year Ago,1/8/24,Monday,2024,2024,2,1,1,35.74,724,24.44,0,0,724,2961.25,SoCal 4
Fountain Valley,Actual,1/8/24,Monday,2024,2024,2,1,1,30.49,513,26.07,0,0,513,1969.45,SoCal 4
Fountain Valley,Scheduled,1/8/24,Monday,2024,2024,2,1,1,31,521.5,28.97,0,0,521.5,1800,SoCal 4
Fountain Valley,Year Ago,1/8/24,Monday,2024,2024,2,1,1,37.27,642,29.04,0,0,642,2269.71,SoCal 4
Five Points,Actual,1/8/24,Monday,2024,2024,2,1,1,29.87,478,37.33,0,0,478,1280.02,SoCal 4
Five Points,Scheduled,1/8/24,Monday,2024,2024,2,1,1,29.5,558.75,37.25,0,0,558.75,1500,SoCal 4
Five Points,Year Ago,1/8/24,Monday,2024,2024,2,1,1,0,0,0,0,0,0,0,SoCal 4
LBX,Actual,1/8/24,Monday,2024,2024,2,1,1,34.45,692,22.75,0,0,692,3042.5,SoCal 4
LBX,Scheduled,1/8/24,Monday,2024,2024,2,1,1,33,658.95,23.53,0,0,658.95,2800,SoCal 4
LBX,Year Ago,1/8/24,Monday,2024,2024,2,1,1,0,0,0,0,0,0,0,SoCal 4
Long Beach,Actual,1/8/24,Monday,2024,2024,2,1,1,39,770,27.39,0,0,770,2878.83,SoCal 4
Long Beach,Scheduled,1/8/24,Monday,2024,2024,2,1,1,41.5,829.58,29.63,0,0,829.58,2800,SoCal 4
Long Beach,Year Ago,1/8/24,Monday,2024,2024,2,1,1,38.02,695,28.76,0,0,695,2417.02,SoCal 4
Manhattan Beach,Actual,1/8/24,Monday,2024,2024,2,1,1,36.32,735,34.39,0,0,735,2137.16,SoCal 4
Manhattan Beach,Scheduled,1/8/24,Monday,2024,2024,2,1,1,36,723.1,22.6,0,0,723.1,3200,SoCal 4
Manhattan Beach,Year Ago,1/8/24,Monday,2024,2024,2,1,1,51.52,1115,80.03,0,0,1115,1392.91,SoCal 4
Marina Del Rey,Actual,1/8/24,Monday,2024,2024,2,1,1,28.96,588,37.76,0,0,588,1558.45,SoCal 4
Marina Del Rey,Scheduled,1/8/24,Monday,2024,2024,2,1,1,29.5,605.95,26.35,0,0,605.95,2300,SoCal 4
Marina Del Rey,Year Ago,1/8/24,Monday,2024,2024,2,1,1,36.21,719,25.66,0,0,719,2802.13,SoCal 4
Newport Beach,Actual,1/8/24,Monday,2024,2024,2,1,1,30.71,504,17.3,183,6,687,2912.44,SoCal 4
Newport Beach,Scheduled,1/8/24,Monday,2024,2024,2,1,1,32.5,591.25,26.88,0,0,591.25,2200,SoCal 4
Newport Beach,Year Ago,1/8/24,Monday,2024,2024,2,1,1,30.16,552,19.83,177,6,729,2871.88,SoCal 4
Tustin,Actual,1/8/24,Monday,2024,2024,2,1,1,28.99,535,24.22,0,0,535,2207.14,SoCal 4
Tustin,Scheduled,1/8/24,Monday,2024,2024,2,1,1,33.5,630,27.39,0,0,630,2300,SoCal 4
Tustin,Year Ago,1/8/24,Monday,2024,2024,2,1,1,30.79,550,20.99,0,0,550,2620.48,SoCal 4
Westminster,Actual,1/8/24,Monday,2024,2024,2,1,1,27.82,492,35.03,0,0,492,1403.86,SoCal 4
Westminster,Scheduled,1/8/24,Monday,2024,2024,2,1,1,28.5,507.25,29.84,0,0,507.25,1700,SoCal 4
Westminster,Year Ago,1/8/24,Monday,2024,2024,2,1,1,0,0,0,0,0,0,0,SoCal 4
Carson,Actual,1/9/24,Tuesday,2024,2024,2,1,1,32.99,660,22.92,0,0,660,2880.28,SoCal 4
Carson,Scheduled,1/9/24,Tuesday,2024,2024,2,1,1,38.08,684.36,26.32,0,0,684.36,2600,SoCal 4
Carson,Year Ago,1/9/24,Tuesday,2024,2024,2,1,1,37.45,638,29.37,0,0,638,2229.32,SoCal 4
Costa Mesa,Actual,1/9/24,Tuesday,2024,2024,2,1,1,24.39,439,31.46,0,0,439,1445.35,SoCal 4
Costa Mesa,Scheduled,1/9/24,Tuesday,2024,2024,2,1,1,30.5,540.06,27,0,0,540.06,2000,SoCal 4
Costa Mesa,Year Ago,1/9/24,Tuesday,2024,2024,2,1,1,26.66,479,27.07,0,0,479,1769.56,SoCal 4
El Segundo,Actual,1/9/24,Tuesday,2024,2024,2,1,1,34.42,699,28.4,0,0,699,2566.2,SoCal 4
El Segundo,Scheduled,1/9/24,Tuesday,2024,2024,2,1,1,33.5,679.65,21.92,0,0,679.65,3100,SoCal 4
Fountain Valley,Actual,1/19/24,Friday,2024,2024,3,1,1,33.68,617,23.7,0,0,617,2676.27,SoCal 4
Fountain Valley,Scheduled,1/19/24,Friday,2024,2024,3,1,1,34.5,629.5,25.19,0,0,629.5,2499,SoCal 4
Fountain Valley,Year Ago,1/19/24,Friday,2024,2024,3,1,1,32.34,604,18.07,0,0,604,3342,SoCal 4
Five Points,Actual,1/19/24,Friday,2024,2024,3,1,1,31.55,574,32.15,0,0,574,1786.57,SoCal 4
Five Points,Scheduled,1/19/24,Friday,2024,2024,3,1,1,37,695.81,40.93,0,0,695.81,1700,SoCal 4
Five Points,Year Ago,1/19/24,Friday,2024,2024,3,1,1,0,0,0,0,0,0,0,SoCal 4
LBX,Actual,1/19/24,Friday,2024,2024,3,1,1,36.97,718,20.57,0,0,718,3491.59,SoCal 4
LBX,Scheduled,1/19/24,Friday,2024,2024,3,1,1,36,699.53,19.99,0,0,699.53,3500,SoCal 4
LBX,Year Ago,1/19/24,Friday,2024,2024,3,1,1,0,0,0,0,0,0,0,SoCal 4
Long Beach,Actual,1/19/24,Friday,2024,2024,3,1,1,41.23,842,26.72,0,0,842,3151.56,SoCal 4
Long Beach,Scheduled,1/19/24,Friday,2024,2024,3,1,1,42,832.05,23.11,0,0,832.05,3600,SoCal 4
Long Beach,Year Ago,1/19/24,Friday,2024,2024,3,1,1,49.61,983,25.37,0,0,983,3876.76,SoCal 4
Manhattan Beach,Actual,1/19/24,Friday,2024,2024,3,1,1,34.82,695,24.43,0,0,695,2844.12,SoCal 4
Manhattan Beach,Scheduled,1/19/24,Friday,2024,2024,3,1,1,37,750.9,21.45,0,0,750.9,3500,SoCal 4
Manhattan Beach,Year Ago,1/19/24,Friday,2024,2024,3,1,1,52.22,958,25.37,0,0,958,3773.92,SoCal 4
Marina Del Rey,Actual,1/19/24,Friday,2024,2024,3,1,1,29.84,603,33.23,0,0,603,1814.44,SoCal 4
Marina Del Rey,Scheduled,1/19/24,Friday,2024,2024,3,1,1,30,602.12,26.18,0,0,602.12,2300,SoCal 4
Marina Del Rey,Year Ago,1/19/24,Friday,2024,2024,3,1,1,41.68,770,20.92,0,0,770,3681.77,SoCal 4
Newport Beach,Actual,1/19/24,Friday,2024,2024,3,1,1,36.31,676,23.55,183,6,859,2869.79,SoCal 4
Newport Beach,Scheduled,1/19/24,Friday,2024,2024,3,1,1,33.5,601.5,30.08,0,0,601.5,2000,SoCal 4
Newport Beach,Year Ago,1/19/24,Friday,2024,2024,3,1,1,25.1,466,17.18,177,6,643,2860.17,SoCal 4
El Segundo,Year Ago,1/9/24,Tuesday,2024,2024,2,1,1,39.49,787,26.69,0,0,787,2949.47,SoCal 4
Fountain Valley,Actual,1/9/24,Tuesday,2024,2024,2,1,1,31.82,563,22.87,0,0,563,2462.32,SoCal 4
Fountain Valley,Scheduled,1/9/24,Tuesday,2024,2024,2,1,1,29.5,496,24.8,0,0,496,2000,SoCal 4
Fountain Valley,Year Ago,1/9/24,Tuesday,2024,2024,2,1,1,36.42,634,34.37,0,0,634,1893.6,SoCal 4
