Location,Sales,Forecast,Difference,Budget,Variance,Week 
El Segundo,"19,311 ","18,500 ",811 ,"20,423 ",-5.4%,9 
Long Beach,"30,397 ","27,000 ","3,397 ","27,221 ",11.7%,9 
Westminster,"20,563 ","13,000 ","7,563 ","13,024 ",57.9%,9 
Five Points,"16,425 ","11,500 ","4,925 ","11,790 ",39.3%,9 
Fountain Valley,"14,184 ","13,800 ",384 ,"15,917 ",-10.9%,9 
Costa Mesa,"19,928 ","14,500 ","5,428 ","14,438 ",38.0%,9 
Newport Beach,"25,756 ","20,000 ","5,756 ","20,062 ",28.4%,9 
Manhattan Beach,"22,793 ","19,900 ","2,893 ","22,344 ",2.0%,9 
Marina Del Rey,"24,375 ","16,500 ","7,875 ","16,733 ",45.7%,9 
LBX,"23,540 ","24,700 ","(1,160)","25,771 ",-8.7%,9 
Total,"272,263 ","225,400 ","46,863 ","239,035 ",13.9%,9 
Carson,"20,716 ","20,100 ",616 ,"22,516 ",-8.0%,10 
Culver City,"23,821 ","26,500 ","(2,679)","28,798 ",-17.3%,10 
El Segundo,"17,133 ","18,000 ",(867),"20,423 ",-16.1%,10 
Long Beach,"26,950 ","26,000 ",950 ,"27,221 ",-1.0%,10 
Westminster,"13,299 ","13,000 ",299 ,"13,024 ",2.1%,10 
Five Points,"9,554 ","10,000 ",(446),"11,790 ",-19.0%,10 
Fountain Valley,"14,612 ","13,500 ","1,112 ","15,917 ",-8.2%,10 
Costa Mesa,"12,718 ","13,900 ","(1,182)","14,438 ",-11.9%,10 
Newport Beach,"20,868 ","20,000 ",868 ,"20,062 ",4.0%,10 
Manhattan Beach,"20,499 ","20,400 ",99 ,"22,344 ",-8.3%,10 
Marina Del Rey,"16,698 ","16,500 ",198 ,"16,733 ",-0.2%,10 
LBX,"23,438 ","22,500 ",938 ,"25,771 ",-9.1%,10 
Total,"220,306 ","220,400 ",(94),"239,035 ",-7.8%,10 
Carson,"23,258 ","22,600 ",658 ,"22,516 ",3.3%,11 
Culver City,"23,020 ","21,500 ","1,520 ","28,798 ",-20.1%,11 
El Segundo,"19,024 ","17,500 ","1,524 ","20,423 ",-6.9%,11 
Long Beach,"24,178 ","25,100 ",(922),"27,221 ",-11.2%,11 
Westminster,"13,082 ","13,000 ",82 ,"13,024 ",0.4%,11 
Five Points,"10,552 ","11,000 ",(448),"11,790 ",-10.5%,11 
Fountain Valley,"12,889 ","14,500 ","(1,611)","15,917 ",-19.0%,11 
Costa Mesa,"12,978 ","13,000 ",(22),"14,438 ",-10.1%,11 
Newport Beach,"21,489 ","20,000 ","1,489 ","20,062 ",7.1%,11 
Manhattan Beach,"21,581 ","20,000 ","1,581 ","22,344 ",-3.4%,11 
Marina Del Rey,"14,963 ","15,500 ",(537),"16,733 ",-10.6%,11 
LBX,"23,532 ","23,500 ",32 ,"25,771 ",-8.7%,11 
Total,"220,546 ","217,200 ","3,346 ","239,035 ",-7.7%,11 
Carson,"22,159 ","22,500 ",(341),"22,516 ",-1.6%,12 
Culver City,"23,982 ","22,000 ","1,982 ","28,798 ",-16.7%,12 
El Segundo,"22,821 ","18,500 ","4,321 ","20,423 ",11.7%,12 
Long Beach,"28,967 ","25,800 ","3,167 ","27,221 ",6.4%,12 
Westminster,"11,921 ","13,000 ","(1,079)","13,024 ",-8.5%,12 
Five Points,"10,251 ","10,500 ",(249),"11,790 ",-13.1%,12 
Fountain Valley,"14,521 ","14,100 ",421 ,"15,917 ",-8.8%,12 
Costa Mesa,"15,514 ","14,500 ","1,014 ","14,438 ",7.5%,12 
Newport Beach,"23,328 ","20,000 ","3,328 ","20,062 ",16.3%,12 
Manhattan Beach,"20,547 ","19,200 ","1,347 ","22,344 ",-8.0%,12 
Marina Del Rey,"18,283 ","15,700 ","2,583 ","16,733 ",9.3%,12 
LBX,"25,672 ","25,500 ",172 ,"25,771 ",-0.4%,12 
Total,"237,965 ","221,300 ","16,665 ","239,035 ",-0.4%,12 
Carson,"23,589 ","22,000 ","1,589 ","22,516 ",4.8%,13 
Culver City,"24,275 ","23,000 ","1,275 ","28,798 ",-15.7%,13 
El Segundo,"18,484 ","17,000 ","1,484 ","20,423 ",-9.5%,13 
Long Beach,"31,059 ","27,000 ","4,059 ","27,221 ",14.1%,13 
Westminster,"13,630 ","12,300 ","1,330 ","13,024 ",4.7%,13 
Five Points,"12,100 ","11,000 ","1,100 ","11,790 ",2.6%,13 
Fountain Valley,"13,640 ","13,300 ",340 ,"15,917 ",-14.3%,13 
Costa Mesa,"12,627 ","13,500 ",(873),"14,438 ",-12.5%,13 
Newport Beach,"16,871 ","18,400 ","(1,529)","20,062 ",-15.9%,13 
Manhattan Beach,"20,807 ","21,000 ",(193),"22,344 ",-6.9%,13 
Marina Del Rey,"18,277 ","16,500 ","1,777 ","16,733 ",9.2%,13 
LBX,"24,842 ","24,200 ",642 ,"25,771 ",-3.6%,13 
Total,"230,201 ","219,200 ","11,001 ","239,035 ",-3.7%,13 
Carson,"21,345 ","22,000 ",(655),"21,993 ",-2.9%,15 
Tustin,"23,261 ","21,200 ","2,061 ","23,853 ",-2.5%,15 
El Segundo,"16,125 ","16,700 ",(575),"20,154 ",-20.0%,15 
Long Beach,"30,237 ","27,000 ","3,237 ","27,186 ",11.2%,15 
Westminster,"14,660 ","13,500 ","1,160 ","13,173 ",11.3%,15 
Five Points,"10,344 ","9,500 ",844 ,"11,336 ",-8.7%,15 
Fountain Valley,"13,686 ","13,600 ",86 ,"17,317 ",-21.0%,15 
Costa Mesa,"13,174 ","13,200 ",(26),"14,177 ",-7.1%,15 
Newport Beach,"23,974 ","20,000 ","3,974 ","20,508 ",16.9%,15 
Manhattan Beach,"21,624 ","21,000 ",624 ,"21,374 ",1.2%,15 
Marina Del Rey,"17,821 ","17,000 ",821 ,"16,803 ",6.1%,15 
LBX,"27,781 ","25,000 ","2,781 ","26,211 ",6.0%,15 
Total,"234,033 ","219,700 ","14,333 ","234,084 ",0.0%,15 
